주키 값,대표제목,대체제목,작성자,편찬자,발신자,주제,자료유형,식별자,발행자,발행일,생성일,갱신일,원자료 발행일,원자료 생성일,사건 발생일,초록,목차정보,파일형식,부분자료,의존자료,단위,파일경로,메타데이터센터명
"COMMT00001","구경 9밀리 권총 명치26년식","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00001","","20041018","20041110","20040915","","20041019","","● 한문 : 明治二十六年式拳銃
● 시대 : 현대
● 유형 : 권총
● 제원 : 길이 230mm, 무게 927g, 제작국 일본
● 재질 : 금속
● 참고문헌 : 육군 무기체계 50년 발전사, http://www.smpa.go.kr, http://www.horae.dti.ne.jp/~fuwe1a","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0001.jpg","WMK"
"COMMT00002","구경 7.62밀리 권총 나간트 리볼버 38식","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00002","","20041018","20041110","","","20041019","","● 영문 : M 1895 Nagant Revolver
● 시대 : 현대
● 유형 : 권총
● 제원 : 길이 230mm, 무게 795g, 제작국 러시아
● 재질 : 금속
● 참고문헌 : 육군 무기체계 50년 발전사, http://www.world.guns.ru/handguns/hg102-e.htm","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0002.jpg","WMK"
"COMMT00003","구경 .45 권총 M1911A1","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00003","","20041018","20041110","","","20041019","","● 영문 : Colt .45 Caliber Semi-Automatic Pistol
● 시대 : 현대
● 유형 : 권총
● 제원 : 길이 219mm, 무게 1,140g, 제작국 미국 콜트 사(社)
● 재질 : 금속
● 참고문헌 : 육군 무기체계 50년 발전사, http://www.world.guns.ru/handguns/hg04-e.htm","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0003.jpg","WMK"
"COMMT00004","구경 5.56밀리 소총 M16A1","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00004","","20041018","20041110","","","20041019","","● 영문 : 5.56mm Caliber M16A1 Automatic Assault Rifle
● 시대 : 현대
● 유형 : 소총
● 제원 : 전체 길이 990mm, 무게 3.18kg, 생산국 미국
● 재질 : 금속, 합성수지
● 참고문헌 : 육군 무기체계 50년 발전사","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0004.jpg","WMK"
"COMMT00005","구경 6.5밀리 소총 명치 30년식","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00005","","20041018","20041110","","","20041019","","● 한문 : 明治三十年式小銃
● 시대 : 현대
● 유형 : 소총
● 제원 : 전체 길이 127.5cm, 무게 3.85kg, 제작국 북한
● 재질 : 금속, 목재
● 참고문헌 : 육군 무기체계 50년 발전사, http://www.horae.dti.ne.jp/~fuwe1a","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0005.jpg","WMK"
"COMMT00006","구경 6.5밀리 소총 명치 38년식","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00006","","20041018","20041110","","","20041019","","● 한문 : 明治三十八年式小銃
● 시대 : 현대
● 유형 : 소총
● 제원 : 전체 길이 127.7cm, 무게 3.95kg, 생산국 일본
● 재질 : 금속, 목재
● 참고문헌 : 육군 무기체계 50년 발전사, http://www.horae.dti.ne.jp/~fuwe1a","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0006.jpg","WMK"
"COMMT00007","구경 7.7밀리 소총 99식","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00007","","20041018","20041110","","","20041019","","● 한문 : 九十九式小銃
● 시대 : 현대
● 유형 : 소총
● 제원 : 전체 길이 128.1cm, 무게 3.2kg, 생산국 일본
● 재질 : 금속, 목재
● 참고문헌 : 육군 무기체계 50년 발전사, http://www.horae.dti.ne.jp/~fuwe1a","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0007.jpg","WMK"
"COMMT00008","구경 7.62밀리 소총 모신나강 장총","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00008","","20041018","20041110","","","20041019","","● 영문 : Mossin Nagant Rifle
● 시대 : 현대
● 유형 : 소총
● 제원 : 전체 길이 101.6cm, 무게 4.37kg, 생산국 러시아
● 재질 : 금속, 목재
● 참고문헌 : 육군 무기체계 50년 발전사, Small arms of the World, http://www.tirito.com.ar/Venta/ArmasLargas/ArmasLargas.htm","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0008.jpg","WMK"
"COMMT00009","구경 .30 기관총 M1919A4 브라우닝","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00009","","20041018","20041110","20040908","","20041019","","● 영문 : M1919A4 .30 Caliber Air Cooled Machine Gun
● 시대 : 현대
● 유형 : 기관총
● 제원 : 전체 길이 104.1cm, 무게 18.5kg, 생산국 미국 브로우닝사(社)
● 재질 : 금속
● 참고문헌 : 육군 무기체계 50년 발전사, http://www.rt66.com/~korteng/SmallArms/30cala6.htm","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0009.jpg","WMK"
"COMMT00010","90밀리 고사포(高射砲) M1","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00010","","20041018","20041110","20040915","","20041019","","● 영문 : 90mm Anti-Motor-Torpedo-Boat(AMTB) Gun
● 시대 : 현대
● 유형 : 대포
● 제원 : 전체 길이 : 2,350cm, 무게 : 360kg, 제작국 미국
● 재질 : 금속
● 참고문헌 : 육군 무기체계 50년 발전사, http://www.geocities.com/fort_tilden/amtb.html","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0010.jpg","WMK"
"COMMT00011","무성화랑무공훈장 수여증","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00011","","20041018","20041110","20040915","","20041019","","● 시대 : 현대
● 유형 : 수여증
● 제원 : 가로 길이 90mm, 세로 길이 60mm, 제작국 대한민국
● 재질 : 종이
● 참고문헌 : 한국전쟁의 영웅들","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0011.jpg","WMK"
"COMMT00012","6.25사변 종군기장 수여증(제25562호)","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00012","","20041018","20041110","20040915","","20041019","","● 한문 : 從軍記章受與證
● 시대 : 현대
● 유형 : 증서
● 제원 : 가로 길이 9.5mm, 세로 길이 6.6mm, 증서 번호 제25562호, 제작국 대한민국
● 재질 : 종이
● 참고문헌 : 한국전쟁의 영웅들","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0012.jpg","WMK"
"COMMT00013","공비토벌기장 수여증 (제1542호)","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00013","","20041018","20041110","20040915","","20041019","","● 시대 : 현대
● 유형 : 수여증
● 제원 : 가로 길이 9.5mm, 세로 길이 6.6mm, 제작국 대한민국
● 재질 : 종이
● 참고문헌 : 한국전쟁의 영웅들","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0013.jpg","WMK"
"COMMT00014","피난민 증명서","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00014","","20041018","20041110","20040915","","20041019","","● 시대 : 현대
● 유형 : 증명서
● 제원 : 가로 길이 140mm, 세로 길이 110mm, 제작국 대한민국
● 재질 : 종이
● 참고문헌 : 한국전쟁사 제5권","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0014.jpg","WMK"
"COMMT00015","상이기장 수여증(傷痍記章授輿證書)","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00015","","20041018","20041110","20040915","","20041019","","● 시대 : 현대
● 유형 : 수여증
● 제원 : 가로 길이 9.5mm, 세로 길이 6.6mm, 제작국 대한민국
● 재질 : 종이
● 참고문헌 : 한국전쟁의 영웅들","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0015.jpg","WMK"
"COMMT00016","북한군에 대한 투항권고 전단:선량한인민군들이여","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00016","","20041018","20041110","20040915","","20041019","","● 시대 : 현대
● 유형 : 전단
● 제원 : 가로 길이 126~278mm, 세로 길이 123~200mm, 제작국 대한민국
● 재질 : 종이
● 참고문헌 : 한국전쟁사 제3권","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0016.jpg","WMK"
"COMMT00017","대통령수장 수여증(大統領綬章 授與證)","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00017","","20041018","20041110","20040915","","20041019","","● 시대 : 현대
● 유형 : 수여증
● 제원 : 가로 길이 9.5mm, 세로 길이 6.6mm, 제작국 대한민국
● 재질 : 종이
● 참고문헌 : 한국전쟁의 영웅들","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0017.jpg","WMK"
"COMMT00018","전투보병휘장 수여증(戰鬪步兵徽章授與證)","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00018","","20041018","20041110","20040915","","20041019","","● 한문 : 戰鬪步兵徽章授與證
● 시대 : 현대
● 유형 : 증서
● 제원 : 가로 길이 9.5mm, 세로 길이 6.6mm, 제작국 대한민국
● 재질 : 종이
● 참고문헌 : 한국전쟁의 영웅들","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0018.jpg","WMK"
"COMMT00019","공비토벌기장 수여증 (제625호)","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00019","","20041018","20041110","20040915","","20041019","","● 시대 : 현대
● 유형 : 수여증
● 제원 : 가로 길이 9.5mm, 세로 길이 6.6mm, 제작국 대한민국
● 재질 : 종이
● 참고문헌 : 한국전쟁의 영웅들","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0019.jpg","WMK"
