기준 일자,발굴 년도,아군 국군,아군 UN군,적군 북한,적군 중국,신원확인 전사자
"","2018","343","","2","12","4"
"","2019","377","1","9","171","7"
"2013.10.30","2000","333","1","10","1","3"
"2013.10.30","2001","199","3","8","1","1"
"2013.10.30","2002","164","1","54","7","9"
"2013.10.30","2003","118","","23","29","2"
"2013.10.30","2004","138","","22","13","3"
"2013.10.30","2005","138","3","25","37","2"
"2013.10.30","2006","92","","75","8","2"
"2013.10.30","2007","378","","122","34","9"
"2013.10.30","2008","671","","83","81","13"
"2013.10.30","2009","1138","2","67","72","10"
"2013.10.30","2010","1329","","65","47","6"
"2013.10.30","2011","1296","1","43","43","8"
"2013.10.30","2012","988","2","20","30","11"
"2013.10.30","2013","671","","32","33","5"
"2014.12.31","2014","809","","36","68","17"
"2015.12.31","2015","562","2","22","37","8"
"2016.07.31","2016","386","1","9","32","9"
"2020.06.15","2017","413","2","11","15","9"
